Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change
1971,14550,,3420,,1510,,23290,,11210,
1972,15020,0.032,3850,0.126,1770,0.172,23800,0.022,11940,0.065
1973,14870,-0.01,3700,-0.039,1960,0.107,23350,-0.019,11600,-0.028
1974,13910,-0.065,3330,-0.1,1830,-0.066,22340,-0.043,10780,-0.071
1975,13710,-0.014,3230,-0.03,1500,-0.18,22020,-0.014,10650,-0.012
1976,14320,0.044,3510,0.087,1580,0.053,22520,0.023,10980,0.031
1977,14350,0.002,3510,0,1650,0.044,22530,0,10840,-0.013
1978,14620,0.019,3410,-0.028,1630,-0.012,22770,0.011,10620,-0.02
1979,14330,-0.02,3280,-0.038,1600,-0.018,22220,-0.024,10330,-0.027
1980,14150,-0.013,3130,-0.046,1520,-0.05,21840,-0.017,9960,-0.036
1981,14560,0.029,3220,0.029,1520,0,22420,0.027,10170,0.021
1982,15480,0.063,3440,0.068,1570,0.033,23790,0.061,10680,0.05
1983,16450,0.063,3720,0.081,1710,0.089,25090,0.055,11090,0.038
1984,17230,0.047,3810,0.024,1800,0.053,26190,0.044,11400,0.028
1985,18310,0.063,3950,0.037,1920,0.067,26630,0.017,11550,0.013
1986,19570,0.069,4140,0.048,1940,0.01,28940,0.087,11900,0.03
1987,19980,0.021,4220,0.019,2100,0.082,29650,0.025,11900,0
1988,21770,0.09,4300,0.019,2180,0.038,31740,0.07,12140,0.02
1989,22490,0.033,4410,0.026,2180,0,32610,0.027,12260,0.01
1990,23010,0.023,4710,0.068,2240,0.028,33210,0.018,12490,0.019
1991,23190,0.008,4990,0.059,2770,0.237,33550,0.01,12880,0.031
1992,23980,0.034,5350,0.072,2570,-0.072,34490,0.028,13380,0.039
1993,24530,0.023,5660,0.058,2790,0.086,35210,0.021,13840,0.034
1994,25460,0.038,5890,0.041,2850,0.022,35850,0.018,14380,0.039
1995,25820,0.014,5940,0.008,2810,-0.014,36720,0.024,14240,-0.01
1996,26660,0.033,6120,0.03,3020,0.075,37680,0.026,14650,0.029
1997,27660,0.038,6240,0.02,3150,0.043,38840,0.031,14990,0.023
1998,29060,0.051,6420,0.029,3060,-0.029,40420,0.041,15350,0.024
1999,30000,0.032,6490,0.011,3190,0.042,41510,0.027,15620,0.018
2000,30050,0.002,6560,0.011,3070,-0.038,41590,0.002,15780,0.01
2001,31600,0.052,6850,0.044,2930,-0.046,43380,0.043,16420,0.041
2002,32320,0.023,7340,0.072,2990,0.02,44510,0.026,17310,0.054
2003,33160,0.026,8140,0.109,3340,0.117,45600,0.024,18430,0.065
2004,34180,0.031,8740,0.074,3550,0.063,46820,0.027,19400,0.053
2005,34590,0.012,9050,0.035,3590,0.011,47380,0.012,19980,0.03
2006,35630,0.03,9260,0.023,3630,0.011,48710,0.028,20510,0.027
2007,36370,0.021,9610,0.038,3560,-0.019,49680,0.02,21060,0.027
2008,37120,0.021,9870,0.027,3560,0,50550,0.018,21490,0.02
2009,38630,0.041,10610,0.075,3860,0.084,52630,0.041,22870,0.064
2010,39530,0.023,11270,0.062,4050,0.049,53850,0.023,23890,0.045
2011,39910,0.01,11850,0.051,4250,0.049,54350,0.009,24560,0.028
2012,40660,0.019,12130,0.024,4420,0.04,55330,0.018,24990,0.018
2013,41640,0.024,12290,0.013,4480,0.014,56610,0.023,25400,0.016
2014,42540,0.022,12450,0.013,4540,0.013,57740,0.02,25750,0.014
2015,43930,0.033,12810,0.029,4620,0.018,59610,0.032,26590,0.033
2016,44940,0.023,12970,0.012,4640,0.004,60840,0.021,27030,0.017
2017,45590,0.014,13110,0.011,4650,0.002,61740,0.015,27310,0.01
2018,45750,0.004,13090,-0.002,4650,0,61920,0.003,27440,0.005
2019,46450,0.015,13150,0.005,4660,0.002,62810,0.014,27640,0.007
2020,46370,-0.002,13150,0,4670,0.002,62930,0.002,27730,0.003
2021,45240,-0.024,12770,-0.029,4520,-0.032,61420,-0.024,26970,-0.027
2022,43940,-0.029,12090,-0.053,4280,-0.053,59380,-0.033,25640,-0.049
2023,44110,0.004,11950,-0.012,4170,-0.026,59590,0.004,25450,-0.007
2024,44390,0.006,11920,-0.003,4150,-0.005,60050,0.008,25580,0.005
2025,45000,0.014,11950,0.003,4150,0,60920,0.014,25850,0.011
